taxonId,treeId,location,startTime,endTime
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17300000,ChinaHubei,2020.091733226386,2019.9482745420405
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17400000,Brazil,2020.1584699453551,2020.1565140879397
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17400000,Italy,2020.1565140879397,2020.1125607159909
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17400000,ChinaHubei,2020.1125607159909,2019.9279360846415
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17500000,Brazil,2020.1584699453551,2020.1560676718148
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17500000,Italy,2020.1560676718148,2020.0672199433288
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17500000,ChinaHubei,2020.0672199433288,2019.9551356724237
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17600000,Brazil,2020.1584699453551,2020.158433783304
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17600000,Italy,2020.158433783304,2020.0679632251197
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17600000,ChinaHubei,2020.0679632251197,2019.947667741226
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17700000,Brazil,2020.1584699453551,2020.1584187709352
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17700000,Italy,2020.1584187709352,2020.1065312009384
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17700000,ChinaHubei,2020.1065312009384,2019.9554093298484
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17800000,Brazil,2020.1584699453551,2020.1566217006293
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17800000,Italy,2020.1566217006293,2020.1467985293762
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17800000,Switzerland,2020.1467985293762,2020.1033955925104
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17800000,ChinaHubei,2020.1033955925104,2019.9572469213929
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17900000,Brazil,2020.1584699453551,2020.1563812486222
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17900000,Italy,2020.1563812486222,2020.0703489531948
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17900000,Australia,2020.0703489531948,2020.0622282287782
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,17900000,ChinaHubei,2020.0622282287782,2019.9480819711148
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18000000,Brazil,2020.1584699453551,2020.1577752200951
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18000000,Italy,2020.1577752200951,2020.0867564165865
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18000000,ChinaHubei,2020.0867564165865,2019.9397055494355
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18100000,Brazil,2020.1584699453551,2020.1573209584558
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18100000,Italy,2020.1573209584558,2020.0677223534758
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18100000,ChinaHubei,2020.0677223534758,2019.9515704112086
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18200000,Brazil,2020.1584699453551,2020.1575495148072
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18200000,Italy,2020.1575495148072,2020.1229442514905
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18200000,Switzerland,2020.1229442514905,2020.1015123695254
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18200000,ChinaHubei,2020.1015123695254,2019.9503814664258
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18300000,Brazil,2020.1584699453551,2020.1567231325896
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18300000,Italy,2020.1567231325896,2020.0625578115275
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18300000,ChinaHubei,2020.0625578115275,2019.9480347217288
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18400000,Brazil,2020.1584699453551,2020.1568265737942
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18400000,Italy,2020.1568265737942,2020.0655718113048
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18400000,ChinaHubei,2020.0655718113048,2019.937641451019
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18500000,Brazil,2020.1584699453551,2020.156973441095
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18500000,Italy,2020.156973441095,2020.0972747929432
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18500000,ChinaHubei,2020.0972747929432,2019.9441092389945
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18600000,Brazil,2020.1584699453551,2020.1567474153535
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18600000,Italy,2020.1567474153535,2020.0656862243989
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18600000,ChinaHubei,2020.0656862243989,2019.9477421095103
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18700000,Brazil,2020.1584699453551,2020.1581183249816
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18700000,Italy,2020.1581183249816,2020.0666982103455
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18700000,Singapore,2020.0666982103455,2020.061302401051
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18700000,ChinaHubei,2020.061302401051,2019.9263839102027
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18800000,Brazil,2020.1584699453551,2020.156305931383
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18800000,Italy,2020.156305931383,2020.134214682991
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18800000,Germany,2020.134214682991,2020.1271409207345
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18800000,Finland,2020.1271409207345,2020.0897643864078
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18800000,ChinaHubei,2020.0897643864078,2019.9467296522864
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18900000,Brazil,2020.1584699453551,2020.1567328258784
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18900000,Italy,2020.1567328258784,2020.127446747347
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,18900000,ChinaHubei,2020.127446747347,2019.9467747425056
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19000000,Brazil,2020.1584699453551,2020.1567693537768
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19000000,Italy,2020.1567693537768,2020.1334281408824
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19000000,Spain,2020.1334281408824,2020.1242585592242
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19000000,ChinaHubei,2020.1242585592242,2019.9451129957733
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19100000,Brazil,2020.1584699453551,2020.1557327592445
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19100000,Italy,2020.1557327592445,2020.117427327134
