name	accession	samplingDate	location
hCoV-19/Guangdong/GD2020246-P0028/2020|EPI_ISL_413864|2020-02-09	EPI_ISL_413864	2020-02-09	ChinaGuangdong
hCoV-19/Guangdong/GDSZ202008-P0020/2020|EPI_ISL_413866|2020-02-05	EPI_ISL_413866	2020-02-05	ChinaGuangdong
hCoV-19/Guangdong/GDSZ202015-P0019/2020|EPI_ISL_413867|2020-02-05	EPI_ISL_413867	2020-02-05	ChinaGuangdong
hCoV-19/Guangdong/DG-S9-P0045/2020|EPI_ISL_413868|2020-02-28	EPI_ISL_413868	2020-02-28	ChinaGuangdong
hCoV-19/Guangdong/FS-S42-P0046/2020|EPI_ISL_413869|2020-02-28	EPI_ISL_413869	2020-02-28	ChinaGuangdong
hCoV-19/Guangdong/FS-S48-P0047/2020|EPI_ISL_413870|2020-02-28	EPI_ISL_413870	2020-02-28	ChinaGuangdong
hCoV-19/Guangdong/MM-S1-P0048/2020|EPI_ISL_413871|2020-02-28	EPI_ISL_413871	2020-02-28	ChinaGuangdong
hCoV-19/Guangdong/SZ-N59-P0049/2020|EPI_ISL_413872|2020-02-28	EPI_ISL_413872	2020-02-28	ChinaGuangdong
hCoV-19/Guangdong/GZ-S6-P0050/2020|EPI_ISL_413873|2020-02-28	EPI_ISL_413873	2020-02-28	ChinaGuangdong
hCoV-19/Guangdong/GDFS2020127-P0026/2020|EPI_ISL_413874|2020-02-12	EPI_ISL_413874	2020-02-12	ChinaGuangdong
hCoV-19/Guangdong/GDFS2020052-P0025/2020|EPI_ISL_413875|2020-02-10	EPI_ISL_413875	2020-02-10	ChinaGuangdong
hCoV-19/Guangdong/GD2020139-P0007/2020|EPI_ISL_413882|2020-02-02	EPI_ISL_413882	2020-02-02	ChinaGuangdong
hCoV-19/Guangdong/GD2020134-P0031/2020|EPI_ISL_413883|2020-02-02	EPI_ISL_413883	2020-02-02	ChinaGuangdong
hCoV-19/Guangdong/GD2020115-P0009/2020|EPI_ISL_413884|2020-02-01	EPI_ISL_413884	2020-02-01	ChinaGuangdong
hCoV-19/Guangdong/2020XN4239-P0034/2020|EPI_ISL_413888|2020-01-30	EPI_ISL_413888	2020-01-30	ChinaGuangdong
hCoV-19/Guangdong/2020XN4291-P0038/2020|EPI_ISL_413889|2020-01-30	EPI_ISL_413889	2020-01-30	ChinaGuangdong
hCoV-19/Wuhan/Hu-1/2019|EPI_ISL_402125|2019-12-31	EPI_ISL_402125	2019-12-26	ChinaHubei
